Date : 2020-11-22 03:25:11
Directory : /Users/iknowindigo/dev/TarotWork/SocialTarot
Total : 203 files,  38602 codes, 3291 comments, 2328 blanks, all 44221 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |         13 |     24,996 |        105 |          9 |     25,110 |
| TypeScript |        124 |     10,353 |      2,396 |      1,658 |     14,407 |
| HTML       |         32 |      1,889 |        483 |        402 |      2,774 |
| SCSS       |         31 |      1,311 |        303 |        253 |      1,867 |
| JavaScript |          2 |         52 |          4 |          5 |         61 |
| XML        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/component/popover-menu/popover-menu.component.spec.ts              | TypeScript |         19 |          0 |          6 |         25 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/component/popover-menu/popover-menu.component.ts                   | TypeScript |        125 |          4 |          6 |        135 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/component/reply-comment/reply-comment.component.html               | HTML       |         18 |          2 |          4 |         24 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/component/reply-comment/reply-comment.component.scss               | SCSS       |         16 |          0 |          2 |         18 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/component/reply-comment/reply-comment.component.spec.ts            | TypeScript |         19 |          0 |          6 |         25 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/component/reply-comment/reply-comment.component.ts                 | TypeScript |         80 |         25 |         14 |        119 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/component/tablehelp/tablehelp.component.html                       | HTML       |        254 |        180 |         34 |        468 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/component/tablehelp/tablehelp.component.scss                       | SCSS       |         60 |          7 |         14 |         81 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/component/tablehelp/tablehelp.component.spec.ts                    | TypeScript |         19 |          0 |          6 |         25 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/component/tablehelp/tablehelp.component.ts                         | TypeScript |        330 |         97 |         48 |        475 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/material.module.ts                                                 | TypeScript |        122 |          3 |          2 |        127 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/members/dashboard/dashboard-routing.module.ts                      | TypeScript |         14 |          0 |          4 |         18 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/members/dashboard/dashboard.module.ts                              | TypeScript |         16 |          0 |          5 |         21 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/members/dashboard/dashboard.page.html                              | HTML       |          7 |          0 |          3 |         10 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/members/dashboard/dashboard.page.scss                              | SCSS       |          0 |          0 |          1 |          1 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/members/dashboard/dashboard.page.spec.ts                           | TypeScript |         19 |          0 |          6 |         25 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/members/dashboard/dashboard.page.ts                                | TypeScript |         11 |          0 |          5 |         16 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/members/member-routing.module.ts                                   | TypeScript |         15 |          0 |          5 |         20 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/profile/profile-routing.module.ts                                  | TypeScript |         14 |          0 |          4 |         18 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/profile/profile.module.ts                                          | TypeScript |         16 |          0 |          5 |         21 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/profile/profile.page.html                                          | HTML       |        102 |         12 |         15 |        129 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/profile/profile.page.scss                                          | SCSS       |          8 |          0 |          0 |          8 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/profile/profile.page.spec.ts                                       | TypeScript |         19 |          0 |          6 |         25 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/profile/profile.page.ts                                            | TypeScript |        215 |         32 |         27 |        274 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/public/login/login-routing.module.ts                               | TypeScript |         14 |          0 |          4 |         18 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/public/login/login.module.ts                                       | TypeScript |         16 |          0 |          5 |         21 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/public/login/login.page.html                                       | HTML       |         60 |          9 |         17 |         86 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/public/login/login.page.scss                                       | SCSS       |          0 |          0 |          1 |          1 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/public/login/login.page.spec.ts                                    | TypeScript |         19 |          0 |          6 |         25 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/public/login/login.page.ts                                         | TypeScript |        114 |         33 |         32 |        179 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/public/register/register-routing.module.ts                         | TypeScript |         14 |          0 |          4 |         18 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/public/register/register.module.ts                                 | TypeScript |         16 |          0 |          5 |         21 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/public/register/register.page.html                                 | HTML       |         81 |          2 |         11 |         94 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/public/register/register.page.scss                                 | SCSS       |          6 |          0 |          0 |          6 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/public/register/register.page.spec.ts                              | TypeScript |         19 |          0 |          6 |         25 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/public/register/register.page.ts                                   | TypeScript |        102 |         14 |         19 |        135 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/services/auth-guard.service.spec.ts                                | TypeScript |         12 |          0 |          5 |         17 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/services/auth-guard.service.ts                                     | TypeScript |         12 |          0 |          4 |         16 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/services/authentication.service.spec.ts                            | TypeScript |         12 |          0 |          5 |         17 |
