"filename", "language", "JSON", "JavaScript", "HTML", "TypeScript", "SCSS", "XML", "comment", "blank", "total"
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/component/folder-nav/folder-nav.component.ts", "TypeScript", 0, 0, 0, 357, 0, 0, 80, 44, 481
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/component/landing-page/landing-page.component.html", "HTML", 0, 0, 45, 0, 0, 0, 0, 4, 49
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/component/landing-page/landing-page.component.scss", "SCSS", 0, 0, 0, 0, 15, 0, 6, 3, 24
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/component/landing-page/landing-page.component.spec.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 6, 25
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/component/landing-page/landing-page.component.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 1, 8, 40
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/component/popover-menu/popover-menu.component.html", "HTML", 0, 0, 93, 0, 0, 0, 15, 14, 122
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/component/popover-menu/popover-menu.component.scss", "SCSS", 0, 0, 0, 0, 14, 0, 5, 2, 21
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/component/popover-menu/popover-menu.component.spec.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 6, 25
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/component/popover-menu/popover-menu.component.ts", "TypeScript", 0, 0, 0, 125, 0, 0, 4, 6, 135
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/component/reply-comment/reply-comment.component.html", "HTML", 0, 0, 18, 0, 0, 0, 2, 4, 24
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/component/reply-comment/reply-comment.component.scss", "SCSS", 0, 0, 0, 0, 16, 0, 0, 2, 18
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/component/reply-comment/reply-comment.component.spec.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 6, 25
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/component/reply-comment/reply-comment.component.ts", "TypeScript", 0, 0, 0, 80, 0, 0, 25, 14, 119
